Match Date,Team,Runs Scored,Runs Conceded,Win,win_pct_last_10,avg_runs_scored_last_10,avg_runs_conceded_last_10
2006-06-15,Sri Lanka,163.0,161.0,1,1.0,163.0,161.0
2006-06-15,England,161.0,163.0,0,0.0,161.0,163.0
2006-08-28,England,144.0,148.0,0,0.0,152.5,155.5
2006-08-28,Pakistan,148.0,144.0,1,1.0,148.0,144.0
2006-11-28,Bangladesh,166.0,123.0,1,1.0,166.0,123.0
2006-11-28,Zimbabwe,123.0,166.0,0,0.0,123.0,166.0
2006-12-01,South Africa,126.0,127.0,0,0.0,126.0,127.0
2006-12-01,India,127.0,126.0,1,1.0,127.0,126.0
2006-12-22,Sri Lanka,62.0,162.0,1,1.0,112.5,161.5
2006-12-22,New Zealand,162.0,62.0,0,0.0,162.0,62.0
2006-12-26,Sri Lanka,115.0,116.0,0,0.6666666666666666,113.33333333333333,146.33333333333334
2006-12-26,New Zealand,116.0,115.0,1,0.5,139.0,88.5
2007-01-09,Australia,221.0,144.0,1,1.0,221.0,144.0
2007-01-09,England,144.0,221.0,0,0.0,149.66666666666666,177.33333333333334
2007-02-02,Pakistan,129.0,132.0,0,0.5,138.5,138.0
2007-02-02,South Africa,132.0,129.0,1,0.5,129.0,128.0
2007-06-28,West Indies,208.0,193.0,1,1.0,208.0,193.0
2007-06-28,England,193.0,208.0,0,0.0,160.5,185.0
2007-06-29,England,173.0,169.0,1,0.2,163.0,181.8
2007-06-29,West Indies,169.0,173.0,0,0.5,188.5,183.0
2007-09-01,Kenya,138.0,139.0,0,0.0,138.0,139.0
2007-09-01,Bangladesh,139.0,138.0,1,1.0,152.5,130.5
2007-09-02,Pakistan,191.0,161.0,1,0.6666666666666666,156.0,145.66666666666666
2007-09-02,Bangladesh,161.0,191.0,0,0.6666666666666666,155.33333333333334,150.66666666666666
2007-09-04,Kenya,92.0,93.0,0,0.0,115.0,116.0
2007-09-04,Pakistan,93.0,92.0,1,0.75,140.25,132.25
2007-09-11,West Indies,205.0,208.0,0,0.3333333333333333,194.0,191.33333333333334
2007-09-11,South Africa,208.0,205.0,1,0.6666666666666666,155.33333333333334,153.66666666666666
2007-09-12,Scotland,120.0,171.0,0,0.0,120.0,171.0
2007-09-12,New Zealand,74.0,73.0,1,0.6666666666666666,117.33333333333333,83.33333333333333
2007-09-12,Kenya,73.0,74.0,0,0.0,101.0,102.0
2007-09-12,Pakistan,171.0,120.0,1,0.8,146.4,129.8
2007-09-12,Australia,138.0,139.0,0,0.5,179.5,141.5
2007-09-12,Zimbabwe,139.0,138.0,1,0.5,131.0,152.0
2007-09-13,England,188.0,138.0,1,0.3333333333333333,167.16666666666666,174.5
2007-09-13,West Indies,164.0,165.0,0,0.25,186.5,184.75
2007-09-13,Bangladesh,165.0,164.0,1,0.75,157.75,154.0
2007-09-13,Zimbabwe,138.0,188.0,0,0.3333333333333333,133.33333333333334,164.0
2007-09-14,Australia,136.0,135.0,1,0.6666666666666666,165.0,139.33333333333334
2007-09-14,England,135.0,136.0,0,0.2857142857142857,162.57142857142858,169.0
2007-09-14,Sri Lanka,260.0,88.0,1,0.75,150.0,131.75
2007-09-14,Kenya,88.0,260.0,0,0.0,97.75,141.5
2007-09-15,New Zealand,164.0,168.0,0,0.5,129.0,104.5
2007-09-15,Sri Lanka,168.0,164.0,1,0.8,153.6,138.2
2007-09-15,Bangladesh,144.0,146.0,0,0.6,155.0,152.4
2007-09-15,South Africa,146.0,144.0,1,0.75,153.0,151.25
2007-09-16,New Zealand,190.0,180.0,1,0.6,141.2,119.6
2007-09-16,India,180.0,190.0,0,0.5,153.5,158.0
2007-09-16,Bangladesh,123.0,124.0,0,0.5,149.66666666666666,147.66666666666666
2007-09-16,Australia,124.0,123.0,1,0.75,154.75,135.25
2007-09-16,South Africa,154.0,135.0,1,0.8,153.2,148.0
2007-09-16,England,135.0,154.0,0,0.25,159.125,167.125
2007-09-17,Pakistan,189.0,156.0,1,0.8333333333333334,153.5,134.16666666666666
2007-09-17,Sri Lanka,156.0,189.0,0,0.6666666666666666,154.0,146.66666666666666
2007-09-18,New Zealand,164.0,159.0,1,0.6666666666666666,145.0,126.16666666666667
2007-09-18,England,159.0,164.0,0,0.2222222222222222,159.11111111111111,166.77777777777777
2007-09-18,Pakistan,165.0,164.0,1,0.8571428571428571,155.14285714285714,138.42857142857142
2007-09-18,Bangladesh,83.0,147.0,0,0.42857142857142855,140.14285714285714,147.57142857142858
2007-09-18,Sri Lanka,147.0,83.0,1,0.7142857142857143,153.0,137.57142857142858
2007-09-18,Australia,164.0,165.0,0,0.6,156.6,141.2
2007-09-19,India,218.0,200.0,1,0.6666666666666666,175.0,172.0
2007-09-19,England,200.0,218.0,0,0.2,163.2,171.9
2007-09-19,New Zealand,153.0,158.0,0,0.5714285714285714,146.14285714285714,130.71428571428572
2007-09-19,South Africa,158.0,153.0,1,0.8333333333333334,154.0,148.83333333333334
2007-09-20,Australia,102.0,101.0,1,0.6666666666666666,147.5,134.5
2007-09-20,Sri Lanka,101.0,102.0,0,0.625,146.5,133.125
2007-09-20,Bangladesh,140.0,141.0,0,0.375,140.125,146.75
2007-09-20,Pakistan,141.0,140.0,1,0.875,153.375,138.625
2007-09-20,India,153.0,116.0,1,0.75,169.5,158.0
2007-09-20,South Africa,116.0,153.0,0,0.7142857142857143,148.57142857142858,149.42857142857142
2007-09-22,Australia,173.0,188.0,0,0.5714285714285714,151.14285714285714,142.14285714285714
2007-09-22,New Zealand,143.0,147.0,0,0.5,145.75,132.75
2007-09-22,India,188.0,173.0,1,0.8,173.2,161.0
2007-09-22,Pakistan,147.0,143.0,1,0.8888888888888888,152.66666666666666,139.11111111111111
2007-09-24,Pakistan,152.0,157.0,0,0.8,152.6,140.9
2007-09-24,India,157.0,152.0,1,0.8333333333333334,170.5,159.5
2007-10-20,India,167.0,166.0,1,0.8571428571428571,170.0,160.42857142857142
2007-10-20,Australia,166.0,167.0,0,0.5,153.0,145.25
2007-11-23,New Zealand,129.0,131.0,0,0.4444444444444444,143.88888888888889,132.55555555555554
2007-11-23,South Africa,131.0,129.0,1,0.75,146.375,146.875
2007-12-11,Australia,186.0,132.0,1,0.5555555555555556,156.66666666666666,143.77777777777777
2007-12-11,New Zealand,132.0,186.0,0,0.4,142.7,137.9
2007-12-16,South Africa,58.0,60.0,0,0.6666666666666666,136.55555555555554,137.22222222222223
2007-12-16,West Indies,60.0,58.0,1,0.4,161.2,159.4
2008-01-18,West Indies,131.0,134.0,0,0.3333333333333333,156.16666666666666,155.16666666666666
2008-01-18,South Africa,134.0,131.0,1,0.7,136.3,136.6
